City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yar-sale,66.83,70.83,2.37,92.0,61.0,6.2,RU,1603837334.0
dalbandin,28.89,64.41,55.22,31.0,0.0,2.51,PK,1603837334.0
ryotsu,38.08,138.43,50.0,93.0,75.0,9.17,JP,1603837086.0
bend,44.06,-121.32,71.6,10.0,1.0,5.82,US,1603837302.0
rio gallegos,-51.62,-69.22,53.6,25.0,20.0,21.92,AR,1603837335.0
hovd,48.01,91.64,29.5,78.0,74.0,0.83,MN,1603837335.0
cape town,-33.93,18.42,64.0,87.0,75.0,5.82,ZA,1603837210.0
chuy,-33.7,-53.46,61.72,94.0,100.0,14.05,UY,1603837335.0
nanortalik,60.14,-45.24,30.7,89.0,100.0,3.42,GL,1603837335.0
lebu,-37.62,-73.65,52.74,71.0,97.0,13.31,CL,1603837336.0
cururupu,-1.83,-44.87,77.11,85.0,80.0,3.6,BR,1603837336.0
pacific grove,36.62,-121.92,73.99,18.0,1.0,8.05,US,1603837327.0
hilo,19.73,-155.09,78.8,83.0,90.0,6.93,US,1603837336.0
malyye derbety,47.95,44.68,42.57,60.0,100.0,14.52,RU,1603837209.0
butaritari,3.07,172.79,81.16,66.0,100.0,5.41,KI,1603837336.0
camacha,33.08,-16.33,66.2,68.0,40.0,3.36,PT,1603837337.0
poltavka,54.37,71.76,27.45,98.0,100.0,20.49,RU,1603837337.0
caravelas,-17.71,-39.25,76.19,92.0,73.0,6.15,BR,1603837337.0
arraial do cabo,-22.97,-42.03,75.2,83.0,0.0,14.99,BR,1603837337.0
hermanus,-34.42,19.23,61.0,92.0,100.0,4.83,ZA,1603837337.0
mataura,-46.19,168.86,57.0,67.0,6.0,1.99,NZ,1603837337.0
bethel,41.37,-73.41,53.6,54.0,40.0,3.36,US,1603837199.0
general roca,-39.03,-67.58,64.4,25.0,0.0,12.75,AR,1603837338.0
asau,46.43,26.4,50.0,98.0,0.0,1.52,RO,1603837338.0
busselton,-33.65,115.33,57.99,77.0,17.0,7.29,AU,1603837338.0
ushuaia,-54.8,-68.3,46.4,42.0,20.0,11.41,AR,1603836776.0
taltal,-25.4,-70.48,62.02,66.0,22.0,7.16,CL,1603837338.0
teya,60.38,92.63,25.34,95.0,100.0,11.32,RU,1603837338.0
bredasdorp,-34.53,20.04,64.4,77.0,100.0,4.7,ZA,1603837339.0
qaanaaq,77.48,-69.36,10.63,80.0,92.0,13.13,GL,1603837339.0
broome,42.25,-75.83,48.99,75.0,90.0,2.91,US,1603837339.0
port alfred,-33.59,26.89,65.35,83.0,29.0,15.03,ZA,1603837339.0
atuona,-9.8,-139.03,78.96,72.0,1.0,20.4,PF,1603837339.0
bluff,-46.6,168.33,57.0,67.0,21.0,1.99,NZ,1603837339.0
puerto ayora,-0.74,-90.35,75.2,69.0,40.0,10.29,EC,1603837340.0
tiksi,71.69,128.87,-1.73,90.0,39.0,11.36,RU,1603837340.0
neubrandenburg,53.57,13.27,46.99,84.0,57.0,13.76,DE,1603837340.0
rikitea,-23.12,-134.97,75.38,83.0,100.0,17.0,PF,1603837340.0
mezen,65.85,44.24,39.27,97.0,100.0,9.78,RU,1603837340.0
necochea,-38.55,-58.74,62.01,71.0,42.0,7.0,AR,1603837340.0
araouane,18.9,-3.53,86.04,14.0,0.0,2.77,ML,1603837341.0
east london,-33.02,27.91,70.34,86.0,29.0,5.5,ZA,1603837341.0
mount gambier,-37.83,140.77,50.0,93.0,40.0,5.1,AU,1603837341.0
brae,60.4,-1.35,50.0,71.0,12.0,10.29,GB,1603837341.0
lerwick,60.15,-1.15,50.0,71.0,20.0,10.29,GB,1603837341.0
hofn,64.25,-15.21,37.4,79.0,100.0,21.27,IS,1603837341.0
ancud,-41.87,-73.82,48.0,87.0,90.0,17.22,CL,1603837342.0
chingirlau,51.09,54.08,29.62,93.0,0.0,5.17,KZ,1603837342.0
hithadhoo,-0.6,73.08,83.52,66.0,95.0,9.66,MV,1603837342.0
vaini,-21.2,-175.2,77.0,78.0,20.0,12.75,TO,1603837342.0
hobyo,5.35,48.53,79.14,81.0,9.0,11.43,SO,1603837342.0
georgetown,5.41,100.34,78.8,94.0,40.0,4.34,MY,1603837343.0
wattegama,6.8,81.48,75.34,90.0,78.0,2.53,LK,1603837343.0
sedro-woolley,48.5,-122.24,57.2,67.0,90.0,8.05,US,1603837343.0
ler,8.3,30.14,72.91,89.0,100.0,3.67,SS,1603837343.0
homer,59.64,-151.55,42.8,60.0,1.0,4.7,US,1603837343.0
kaitangata,-46.28,169.85,55.0,71.0,3.0,4.0,NZ,1603837343.0
kapchorwa,1.4,34.45,59.29,81.0,42.0,3.24,UG,1603837344.0
prince rupert,54.32,-130.32,50.0,93.0,75.0,2.24,CA,1603837344.0
jalu,29.03,21.55,73.15,38.0,16.0,11.56,LY,1603837344.0
kapaa,22.08,-159.32,84.0,69.0,75.0,3.36,US,1603837344.0
taoudenni,22.68,-3.98,84.15,15.0,3.0,7.99,ML,1603837344.0
kerema,-7.96,145.78,78.6,84.0,100.0,5.06,PG,1603837344.0
lima,-12.04,-77.03,66.2,72.0,75.0,13.87,PE,1603837297.0
batemans bay,-35.72,150.18,62.01,89.0,20.0,1.01,AU,1603837345.0
meulaboh,4.14,96.13,75.11,88.0,64.0,4.45,ID,1603837345.0
castro,-24.79,-50.01,64.67,58.0,0.0,4.5,BR,1603837345.0
klaksvik,62.23,-6.59,42.8,87.0,89.0,10.29,FO,1603837345.0
qaqortoq,60.72,-46.03,32.0,99.0,100.0,1.12,GL,1603837345.0
praxedis guerrero,31.37,-106.02,34.0,62.0,90.0,9.17,MX,1603837345.0
la serena,-29.91,-71.25,57.2,67.0,40.0,12.75,CL,1603837086.0
najran,17.49,44.13,60.8,26.0,0.0,2.04,SA,1603837346.0
tuktoyaktuk,69.45,-133.04,12.2,85.0,90.0,11.41,CA,1603837346.0
manfredonia,41.63,15.91,55.4,100.0,75.0,1.12,IT,1603837346.0
mumford,5.26,-0.76,78.93,86.0,68.0,8.66,GH,1603837346.0
marsa matruh,31.35,27.25,71.6,64.0,20.0,3.15,EG,1603837347.0
hobart,-42.88,147.33,55.99,81.0,75.0,1.12,AU,1603836998.0
knysna,-34.04,23.05,59.0,87.0,0.0,6.93,ZA,1603837347.0
sitka,57.05,-135.33,46.4,87.0,90.0,9.17,US,1603837347.0
da nang,16.07,108.22,75.2,100.0,90.0,21.92,VN,1603837347.0
izhma,65.01,53.91,34.12,96.0,100.0,6.51,RU,1603837347.0
la ronge,55.1,-105.28,28.4,86.0,90.0,11.41,CA,1603837348.0
tocopilla,-22.09,-70.2,64.78,51.0,19.0,5.48,CL,1603837348.0
kodiak,57.79,-152.41,46.4,49.0,20.0,10.29,US,1603837348.0
albany,42.6,-73.97,48.99,64.0,100.0,2.39,US,1603837260.0
zephyrhills,28.23,-82.18,86.0,66.0,40.0,8.43,US,1603837348.0
luderitz,-26.65,15.16,58.41,74.0,19.0,8.41,NA,1603837349.0
carnarvon,-24.87,113.63,66.2,88.0,0.0,19.46,AU,1603837349.0
tezu,27.92,96.17,70.54,57.0,7.0,3.13,IN,1603837349.0
lavrentiya,65.58,-171.0,30.83,93.0,100.0,10.42,RU,1603837349.0
maple creek,49.92,-109.48,45.14,70.0,95.0,10.38,CA,1603837349.0
sinnamary,5.38,-52.95,80.89,78.0,27.0,10.54,GF,1603837350.0
srednekolymsk,67.45,153.68,14.41,87.0,99.0,3.89,RU,1603837350.0
dharur,18.82,76.12,66.7,73.0,0.0,3.31,IN,1603837350.0
aswan,24.09,32.91,80.87,32.0,0.0,10.76,EG,1603837350.0
radyvyliv,50.13,25.26,50.16,91.0,0.0,6.69,UA,1603837350.0
ponta do sol,32.67,-17.1,66.2,68.0,40.0,3.36,PT,1603837350.0
aranos,-24.13,19.12,76.66,30.0,54.0,9.44,NA,1603837350.0
bilma,18.69,12.92,71.33,22.0,0.0,3.53,NE,1603837351.0
punta arenas,-53.15,-70.92,46.4,58.0,0.0,21.92,CL,1603837351.0
faanui,-16.48,-151.75,79.88,82.0,60.0,19.24,PF,1603837351.0
ishigaki,24.34,124.16,77.0,78.0,20.0,11.41,JP,1603837351.0
sao filipe,14.9,-24.5,81.68,71.0,100.0,4.16,CV,1603837351.0
santa rita do sapucai,-22.25,-45.7,69.51,79.0,28.0,1.83,BR,1603837327.0
copiapo,-27.37,-70.33,62.6,63.0,20.0,6.93,CL,1603837351.0
macapa,0.04,-51.07,86.0,74.0,20.0,5.82,BR,1603837281.0
longyearbyen,78.22,15.64,32.0,93.0,75.0,3.36,SJ,1603837352.0
victoria,22.29,114.16,77.0,76.0,49.0,3.0,HK,1603837091.0
bengkulu,-3.8,102.27,75.45,82.0,98.0,3.18,ID,1603837352.0
gizo,-8.1,156.84,83.64,74.0,95.0,4.07,SB,1603837352.0
ucluelet,48.93,-125.55,52.0,100.0,90.0,2.24,CA,1603837053.0
lata,40.16,-8.33,61.0,93.0,99.0,1.99,PT,1603837352.0
mahebourg,-20.41,57.7,70.0,79.0,5.0,3.0,MU,1603837353.0
lompoc,34.64,-120.46,71.01,43.0,1.0,14.99,US,1603837134.0
barrow,71.29,-156.79,30.2,63.0,75.0,21.92,US,1603837353.0
baraya,3.15,-75.05,83.79,58.0,79.0,2.75,CO,1603837353.0
rosario,-32.95,-60.64,75.2,38.0,0.0,8.05,AR,1603837353.0
komsomolskiy,40.43,71.72,51.8,40.0,97.0,2.24,UZ,1603837353.0
mar del plata,-38.0,-57.56,62.6,45.0,0.0,10.29,AR,1603837149.0
muros,42.78,-9.06,59.0,93.0,99.0,1.99,ES,1603837354.0
kampot,10.62,104.18,77.61,85.0,100.0,6.76,KH,1603837354.0
palmer,42.16,-72.33,51.8,57.0,75.0,1.54,US,1603837354.0
kalininsk,51.5,44.48,32.94,87.0,82.0,7.63,RU,1603837355.0
witbank,-25.87,29.23,66.4,55.0,47.0,6.22,ZA,1603837355.0
cabo san lucas,22.89,-109.91,82.0,61.0,40.0,4.7,MX,1603837355.0
howard springs,-12.5,131.05,82.0,78.0,20.0,3.36,AU,1603837355.0
almaznyy,48.04,40.05,50.0,61.0,20.0,24.61,RU,1603837355.0
kuusamo,65.97,29.18,42.8,81.0,90.0,11.41,FI,1603837356.0
kiunga,-6.12,141.29,72.14,98.0,100.0,0.49,PG,1603837356.0
vila velha,-20.33,-40.29,77.0,88.0,75.0,11.41,BR,1603837356.0
sioux lookout,50.1,-91.92,26.6,79.0,90.0,11.41,CA,1603837356.0
boa vista,2.82,-60.67,91.4,43.0,20.0,5.82,BR,1603837256.0
samarai,-10.62,150.67,81.93,83.0,25.0,8.88,PG,1603837088.0
chokurdakh,70.63,147.92,11.66,97.0,100.0,1.36,RU,1603837356.0
deputatskiy,69.3,139.9,1.98,93.0,86.0,4.88,RU,1603837357.0
jamestown,42.1,-79.24,45.0,87.0,90.0,8.05,US,1603836776.0
chihuahua,28.5,-106.0,59.0,38.0,5.0,35.57,MX,1603837073.0
huangzhai,38.08,112.66,39.2,49.0,100.0,2.24,CN,1603837357.0
tasiilaq,65.61,-37.64,33.8,40.0,100.0,10.29,GL,1603837357.0
college,64.86,-147.8,30.2,80.0,75.0,6.93,US,1603837357.0
paramonga,-10.67,-77.83,65.52,80.0,100.0,6.71,PE,1603837358.0
koshki,54.21,50.47,31.28,92.0,100.0,4.25,RU,1603837358.0
rampura,30.25,75.23,62.22,29.0,0.0,1.25,IN,1603837358.0
saldanha,-33.01,17.94,60.8,82.0,100.0,2.24,ZA,1603837358.0
livingston,55.9,-3.52,44.01,93.0,0.0,10.29,GB,1603837358.0
upernavik,72.79,-56.15,17.28,81.0,0.0,6.26,GL,1603837359.0
whitehorse,60.72,-135.05,33.01,92.0,75.0,3.36,CA,1603837359.0
cabedelo,-6.98,-34.83,78.8,78.0,20.0,10.29,BR,1603837145.0
pontianak,-0.03,109.33,73.62,96.0,99.0,3.98,ID,1603837359.0
kenai,60.55,-151.26,41.0,76.0,1.0,3.36,US,1603837359.0
mayo,38.89,-76.51,62.01,77.0,90.0,4.99,US,1603837359.0
thompson,55.74,-97.86,26.6,58.0,75.0,9.17,CA,1603837360.0
bartica,6.4,-58.62,84.2,74.0,40.0,9.17,GY,1603837360.0
wamba,8.93,8.6,74.16,53.0,0.0,3.29,NG,1603837360.0
cayenne,4.93,-52.33,84.2,74.0,0.0,9.17,GF,1603837064.0
geraldton,-28.77,114.6,64.4,72.0,90.0,10.29,AU,1603837360.0
san cristobal,7.77,-72.22,87.8,55.0,40.0,10.29,VE,1603837360.0
ostrovnoy,68.05,39.51,42.71,92.0,100.0,21.74,RU,1603837360.0
yellowknife,62.46,-114.35,17.6,67.0,75.0,6.93,CA,1603837361.0
gorontalo,0.54,123.06,75.85,74.0,100.0,2.62,ID,1603837361.0
saskylakh,71.92,114.08,5.25,93.0,100.0,10.25,RU,1603837361.0
khasan,42.43,130.64,45.64,54.0,10.0,19.28,RU,1603837361.0
bambous virieux,-20.34,57.76,70.0,79.0,6.0,3.0,MU,1603837361.0
vanavara,60.34,102.28,20.73,92.0,100.0,10.29,RU,1603837362.0
lethem,3.38,-59.8,87.64,52.0,6.0,7.38,GY,1603837362.0
saint george,37.1,-113.58,61.0,9.0,1.0,3.36,US,1603837153.0
bardiyah,31.76,25.09,70.93,70.0,23.0,12.75,LY,1603837362.0
havre-saint-pierre,50.23,-63.6,30.2,86.0,1.0,3.36,CA,1603837362.0
ilulissat,69.22,-51.1,17.6,61.0,62.0,3.27,GL,1603837362.0
kahului,20.89,-156.47,87.8,55.0,40.0,8.05,US,1603837190.0
aitape,-3.14,142.35,80.28,80.0,97.0,4.12,PG,1603837362.0
new norfolk,-42.78,147.06,55.99,79.0,71.0,3.65,AU,1603837363.0
yulara,-25.24,130.99,60.8,31.0,0.0,5.82,AU,1603837363.0
henties bay,-22.12,14.28,59.0,88.0,38.0,4.72,NA,1603837363.0
qeshm,26.96,56.27,69.8,83.0,0.0,6.93,IR,1603837363.0
kamaishi,39.27,141.88,51.76,70.0,21.0,3.8,JP,1603837363.0
kerrobert,51.92,-109.13,53.6,71.0,90.0,18.34,CA,1603837363.0
springbok,-29.66,17.89,50.07,77.0,29.0,3.24,ZA,1603837364.0
guadix,37.3,-3.14,52.0,57.0,25.0,1.99,ES,1603837364.0
cidreira,-30.18,-50.21,61.61,88.0,96.0,13.2,BR,1603837364.0
port hardy,50.7,-127.42,48.2,93.0,90.0,9.17,CA,1603837364.0
paracatu,-17.22,-46.87,77.68,68.0,87.0,5.99,BR,1603837364.0
avarua,-21.21,-159.78,69.8,94.0,100.0,8.05,CK,1603836776.0
florestopolis,-22.86,-51.39,82.4,34.0,0.0,8.05,BR,1603837365.0
gat,31.61,34.76,75.99,100.0,50.0,3.4,IL,1603837365.0
port elizabeth,-33.92,25.57,62.6,88.0,0.0,19.46,ZA,1603837365.0
kharp,66.8,65.81,6.39,93.0,100.0,2.66,RU,1603837365.0
gazanjyk,39.24,55.52,50.13,43.0,0.0,12.57,TM,1603837365.0
jinka,5.65,36.65,63.39,90.0,32.0,3.09,ET,1603837365.0
makakilo city,21.35,-158.09,82.4,69.0,40.0,3.36,US,1603837366.0
pisco,-13.7,-76.22,69.8,68.0,0.0,20.8,PE,1603837366.0
anadyr,64.75,177.48,15.8,85.0,75.0,4.47,RU,1603837366.0
aksu,41.12,80.26,43.09,55.0,22.0,3.51,CN,1603837366.0
marawi,8.0,124.29,73.99,91.0,100.0,5.01,PH,1603837366.0
cherskiy,68.75,161.3,11.8,93.0,99.0,8.23,RU,1603837367.0
gevgelija,41.14,22.5,62.01,39.0,14.0,1.99,MK,1603837367.0
sabzevar,36.21,57.68,51.33,44.0,0.0,5.48,IR,1603837367.0
opuwo,-18.06,13.84,65.95,51.0,27.0,4.74,NA,1603837367.0
airai,-8.93,125.41,62.74,94.0,12.0,1.36,TL,1603837367.0
dingle,11.0,122.67,76.26,88.0,85.0,3.78,PH,1603837367.0
murnau,48.23,12.29,37.0,99.0,10.0,5.5,DE,1603837367.0
formosa,-26.18,-58.18,82.4,48.0,0.0,5.82,AR,1603837267.0
kayan,16.91,96.56,78.8,88.0,40.0,2.24,MM,1603837368.0
santa maria,-29.68,-53.81,73.4,49.0,0.0,4.7,BR,1603837368.0
karratha,-20.74,116.85,69.3,88.0,73.0,6.44,AU,1603837257.0
vardo,70.37,31.11,39.2,93.0,75.0,9.17,NO,1603837368.0
petropavlovsk-kamchatskiy,53.05,158.65,33.8,100.0,75.0,2.24,RU,1603837368.0
saint-georges,12.06,-61.75,84.2,79.0,20.0,9.17,GD,1603837085.0
kadoma,34.73,135.58,57.2,81.0,75.0,2.24,JP,1603837369.0
kavieng,-2.57,150.8,83.79,67.0,97.0,3.02,PG,1603837369.0
diamantino,-14.41,-56.45,81.32,72.0,93.0,2.86,BR,1603837369.0
campos,-21.75,-41.3,77.0,78.0,0.0,11.41,BR,1603837369.0
grand gaube,-20.01,57.66,70.0,79.0,0.0,3.0,MU,1603837369.0
tecoanapa,16.52,-98.75,85.53,71.0,57.0,8.75,MX,1603837370.0
usinsk,65.99,57.53,28.35,98.0,100.0,15.43,RU,1603837370.0
liancheng,24.05,105.08,62.83,95.0,99.0,1.99,CN,1603837370.0
amberley,39.2,-84.43,52.0,81.0,90.0,6.93,US,1603837370.0
ahipara,-35.17,173.17,69.42,61.0,49.0,2.24,NZ,1603837370.0
olafsvik,64.89,-23.71,39.92,69.0,94.0,18.86,IS,1603837369.0
imeni stepana razina,54.89,44.3,34.09,87.0,100.0,8.59,RU,1603837371.0
piet retief,-27.01,30.81,61.74,83.0,40.0,3.18,ZA,1603837371.0
nuuk,64.18,-51.72,24.8,79.0,0.0,6.93,GL,1603836858.0
tignere,7.37,12.65,66.27,65.0,0.0,0.51,CM,1603837371.0
mnogovershinnyy,53.94,139.92,28.96,97.0,45.0,0.85,RU,1603837371.0
yatou,37.15,122.38,53.02,51.0,82.0,8.84,CN,1603837371.0
souillac,-20.52,57.52,70.0,79.0,7.0,3.0,MU,1603837372.0
innisfail,-17.53,146.03,75.7,79.0,100.0,2.24,AU,1603837372.0
khatanga,71.97,102.5,-3.14,92.0,66.0,10.87,RU,1603837372.0
ahuimanu,21.44,-157.84,82.4,69.0,20.0,4.7,US,1603837372.0
ribeira grande,38.52,-28.7,62.6,72.0,75.0,6.93,PT,1603837372.0
provideniya,64.38,-173.3,32.0,96.0,90.0,4.47,RU,1603836776.0
manadhoo,5.77,73.38,82.26,76.0,3.0,7.76,MV,1603837373.0
nishihara,26.18,127.76,73.4,73.0,40.0,9.17,JP,1603837373.0
nouakchott,18.09,-15.98,86.0,11.0,6.0,8.05,MR,1603837373.0
takoradi,4.88,-1.76,78.28,87.0,100.0,8.37,GH,1603837373.0
nikolskoye,59.7,30.79,51.8,87.0,90.0,8.95,RU,1603837373.0
tortoli,39.93,9.66,59.0,47.0,5.0,2.24,IT,1603837373.0
touros,-5.2,-35.46,80.6,78.0,0.0,13.87,BR,1603837374.0
conceicao da barra,-18.59,-39.73,75.94,87.0,94.0,9.28,BR,1603837374.0
trani,41.27,16.42,60.01,87.0,40.0,3.36,IT,1603837374.0
buala,-8.14,159.59,84.36,72.0,3.0,2.59,SB,1603837374.0
parauna,-16.95,-50.45,76.37,80.0,55.0,4.16,BR,1603837374.0
talcahuano,-36.72,-73.12,51.8,87.0,75.0,12.75,CL,1603837375.0
tevaitoa,-16.78,-151.5,80.51,80.0,93.0,20.56,PF,1603837375.0
novocheremshansk,54.36,50.17,31.59,92.0,100.0,4.12,RU,1603837208.0
puerto carreno,6.19,-67.49,83.12,77.0,96.0,9.31,CO,1603837375.0
isangel,-19.55,169.27,80.6,74.0,20.0,11.41,VU,1603837375.0
nome,64.5,-165.41,32.0,95.0,90.0,3.36,US,1603837342.0
yelizovo,53.19,158.38,33.8,100.0,90.0,2.24,RU,1603837375.0
caucaia,-3.74,-38.65,80.6,78.0,0.0,10.29,BR,1603837375.0
iqaluit,63.75,-68.51,19.4,79.0,90.0,2.24,CA,1603837320.0
san juan,-31.54,-68.54,83.64,15.0,19.0,23.67,AR,1603837239.0
preobrazheniye,42.9,133.91,48.13,80.0,66.0,5.91,RU,1603837376.0
mongoumba,3.64,18.59,70.45,98.0,37.0,3.02,CF,1603837376.0
kendari,-3.94,122.5,75.61,85.0,82.0,2.37,ID,1603837081.0
at-bashi,41.17,75.81,34.47,71.0,92.0,4.43,KG,1603837376.0
egvekinot,66.32,-179.17,18.79,92.0,99.0,3.94,RU,1603837377.0
trincomalee,8.57,81.23,78.78,80.0,0.0,4.61,LK,1603837377.0
mabaruma,8.2,-59.78,77.05,87.0,15.0,3.31,GY,1603837377.0
poso,-1.4,120.75,78.01,76.0,100.0,5.21,ID,1603837377.0
coro,11.4,-69.67,81.84,77.0,37.0,14.63,VE,1603837377.0
dunedin,-45.87,170.5,53.01,68.0,0.0,15.99,NZ,1603837377.0
fortuna,40.6,-124.16,73.99,37.0,20.0,14.99,US,1603837375.0
khanu woralaksaburi,16.06,99.86,71.46,91.0,100.0,4.94,TH,1603837378.0
taybad,34.74,60.78,54.3,38.0,0.0,15.82,IR,1603837378.0
alofi,-19.06,-169.92,77.0,78.0,75.0,19.46,NU,1603837378.0
labuan,5.28,115.24,77.0,94.0,20.0,7.56,MY,1603837378.0
padang,-0.95,100.35,77.11,73.0,96.0,3.62,ID,1603837378.0
katsuura,35.13,140.3,60.8,77.0,40.0,5.82,JP,1603837378.0
slave lake,55.28,-114.77,39.2,80.0,90.0,17.22,CA,1603837379.0
kavaratti,10.57,72.64,81.12,76.0,95.0,7.52,IN,1603837379.0
chegdomyn,51.12,133.02,32.14,98.0,96.0,2.06,RU,1603837379.0
tabou,4.42,-7.35,78.01,88.0,34.0,8.14,CI,1603837379.0
port augusta,-32.5,137.77,55.4,100.0,0.0,4.7,AU,1603837379.0
te anau,-45.42,167.72,51.24,67.0,87.0,1.83,NZ,1603837379.0
pointe michel,15.25,-61.38,75.2,100.0,40.0,3.36,DM,1603837380.0
yarovoye,52.93,78.58,32.95,96.0,97.0,24.52,RU,1603837380.0
neijiang,29.58,105.06,58.15,87.0,100.0,7.49,CN,1603837380.0
viedma,-40.81,-63.0,70.14,20.0,40.0,10.69,AR,1603837380.0
ghatanji,20.13,78.32,71.13,58.0,1.0,3.65,IN,1603837380.0
fereydunshahr,32.94,50.12,38.68,63.0,0.0,4.61,IR,1603837381.0
torbay,47.67,-52.73,39.2,100.0,90.0,11.41,CA,1603837381.0
morro bay,35.37,-120.85,75.99,23.0,0.0,5.01,US,1603837381.0
laguna,38.42,-121.42,75.99,18.0,1.0,5.82,US,1603837381.0
poum,-20.23,164.02,77.0,74.0,72.0,11.92,NC,1603837381.0
paamiut,61.99,-49.67,27.75,85.0,68.0,18.25,GL,1603837369.0
gondanglegi,-7.75,112.01,75.33,87.0,100.0,10.33,ID,1603837382.0
zhangye,38.93,100.45,35.78,81.0,67.0,1.54,CN,1603837382.0
iskateley,67.68,53.15,33.91,96.0,100.0,9.6,RU,1603837382.0
seoul,37.57,126.98,57.2,87.0,75.0,5.32,KR,1603837329.0
sydney,-33.87,151.21,64.0,77.0,75.0,9.17,AU,1603836523.0
constitucion,-35.33,-72.42,54.61,59.0,7.0,12.44,CL,1603837382.0
